Frame,Active_Players,Total_Detections,Jersey_Locked,Avg_Distance_Threshold
264,9,7,0,132.8
265,9,7,0,132.0
266,9,8,0,134.2
267,9,8,0,135.7
268,9,8,0,131.7
269,9,7,0,135.9
270,9,7,0,136.8
271,9,7,0,132.6
272,9,7,0,153.2
273,9,7,0,138.9
274,9,6,0,136.3
275,9,6,0,134.8
276,9,7,0,134.7
277,9,7,0,136.3
278,9,7,0,138.3
279,9,6,0,135.4
280,11,10,0,153.8
281,11,8,0,151.4
282,11,9,0,137.8
283,11,7,0,136.1
284,11,6,0,136.6
285,11,9,0,149.7
286,12,10,0,131.3
287,12,10,0,143.2
288,12,10,0,145.8
289,12,10,0,135.6
290,12,10,0,134.1
291,12,10,0,131.3
292,12,11,0,146.3
293,12,11,0,132.2
294,12,11,0,133.8
295,12,11,0,135.3
296,13,11,0,136.3
297,13,11,0,135.3
298,13,10,0,137.8
299,14,12,0,135.9
300,14,10,0,137.2
301,14,10,0,139.2
302,14,8,0,139.9
303,14,9,0,140.1
304,14,11,0,138.9
305,14,9,0,139.4
306,15,10,0,141.3
307,15,13,0,163.2
308,15,12,0,161.5
309,16,13,0,148.5
310,16,15,0,160.1
311,16,11,0,159.0
312,16,13,0,144.7
313,16,13,0,154.1
314,16,13,0,142.9
315,16,12,0,151.9
316,16,11,0,143.4
317,16,12,0,150.3
318,16,13,0,140.0
319,16,13,0,151.9
320,16,12,0,152.5
321,17,13,0,139.5
322,17,11,0,138.4
323,17,10,0,141.1
324,17,11,0,143.1
325,17,11,0,150.3
326,17,11,0,144.2
327,17,11,0,150.1
328,17,11,0,148.5
329,17,10,0,143.7
330,17,8,0,145.2
331,17,8,0,147.7
332,17,8,0,147.4
333,17,9,0,149.3
334,17,8,0,150.4
335,17,8,0,149.7
336,17,9,0,155.2
337,17,7,0,152.8
338,18,8,0,149.8
339,18,7,0,148.8
340,18,8,0,156.5
341,18,8,0,155.4
342,18,9,0,154.3
343,18,8,0,149.2
344,18,10,0,145.6
345,18,9,0,140.1
346,17,9,0,143.7
347,18,11,0,148.1
348,18,8,0,150.3
349,18,8,0,143.8
350,18,8,0,145.1
351,18,10,0,152.6
352,17,10,0,140.4
353,16,11,0,140.3
354,16,10,0,148.9
355,16,9,0,145.9
356,17,10,0,143.9
357,17,10,0,148.7
358,17,10,0,148.8
359,16,10,0,147.1
360,15,9,0,146.3
361,15,9,0,149.5
362,15,9,0,144.3
363,15,10,0,152.3
364,14,9,0,135.1
365,14,9,0,132.2
366,14,9,0,130.5
367,14,8,0,133.3
368,14,9,0,131.5
369,13,8,0,134.2
370,13,8,0,131.3
371,14,10,0,136.0
372,14,1,0,144.0
373,14,1,0,139.0
374,14,1,0,134.2
375,14,1,0,134.7
